breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge,combo_label,weight_market_sanity,weight_steam,base_roi,base_strike_rate,base_bets,base_total_profit,delta_roi,delta_strike_rate,delta_bets,delta_total_profit
price_band,6-9,219,30,219.0,-2.0,-0.0091324200913242,0.136986301369863,7.260273972602739,0.08174738440975936,mkt=0.030|steam=0.080,0.03,0.08,0.07709251101321586,0.14537444933920704,227,17.5,-0.08622493110454006,-0.008388147969344034,-8,-19.5
price_band,3-6,55,8,55.0,-19.3,-0.35090909090909095,0.14545454545454545,4.8963636363636365,0.07863037631623758,mkt=0.030|steam=0.080,0.03,0.08,-0.5392857142857143,0.10714285714285714,56,-30.2,0.1883766233766233,0.03831168831168831,-1,10.899999999999999
price_band,9-12,134,18,134.0,51.0,0.3805970149253731,0.13432835820895522,9.92910447761194,0.0894238073260493,mkt=0.030|steam=0.100,0.03,0.1,0.4520547945205479,0.14383561643835616,146,66.0,-0.0714577795951748,-0.009507258229400933,-12,-15.0
price_band,12-20,111,10,111.0,19.0,0.17117117117117117,0.09009009009009009,13.216216216216216,0.10246950286785121,mkt=0.030|steam=0.100,0.03,0.1,0.04838709677419355,0.08064516129032258,124,6.0,0.12278407439697762,0.009444928799767507,-13,13.0
price_band,<3,1,0,1.0,-1.0,-1.0,0.0,2.7,0.09864087631828389,mkt=0.030|steam=0.100,0.03,0.1,1.9,1.0,1,1.9,-2.9,-1.0,0,-2.9
price_band,6-9,222,29,222.0,-12.0,-0.05405405405405406,0.13063063063063063,7.2657657657657655,0.08289159987661349,mkt=0.030|steam=0.100,0.03,0.1,0.07709251101321586,0.14537444933920704,227,17.5,-0.1311465650672699,-0.014743818708576412,-5,-29.5
price_band,3-6,59,9,59.0,-18.0,-0.3050847457627119,0.15254237288135594,4.9711864406779664,0.07898317792045884,mkt=0.030|steam=0.100,0.03,0.1,-0.5392857142857143,0.10714285714285714,56,-30.2,0.23420096852300237,0.045399515738498805,3,12.2
price_band,6-9,217,33,217.0,27.0,0.12442396313364056,0.15207373271889402,7.380184331797235,0.08088000414162301,mkt=0.050|steam=0.040,0.05,0.04,0.07709251101321586,0.14537444933920704,227,17.5,0.047331452120424694,0.006699283379686977,-10,9.5
price_band,12-20,122,10,122.0,3.0,0.02459016393442623,0.08196721311475409,13.12295081967213,0.09337798705782657,mkt=0.050|steam=0.040,0.05,0.04,0.04838709677419355,0.08064516129032258,124,6.0,-0.023796932839767318,0.0013220518244315138,-2,-3.0
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.09127512043056107,mkt=0.050|steam=0.040,0.05,0.04,1.9,1.0,1,1.9,0.0,0.0,0,0.0
price_band,9-12,132,13,132.0,-2.0,-0.015151515151515152,0.09848484848484848,9.916666666666666,0.08942221323609667,mkt=0.050|steam=0.040,0.05,0.04,0.4520547945205479,0.14383561643835616,146,66.0,-0.46720630967206306,-0.045350767953507676,-14,-68.0
price_band,3-6,39,3,39.0,-24.2,-0.6205128205128205,0.07692307692307693,4.946153846153846,0.08159152410091526,mkt=0.050|steam=0.040,0.05,0.04,-0.5392857142857143,0.10714285714285714,56,-30.2,-0.08122710622710627,-0.03021978021978021,-17,6.0
price_band,9-12,123,14,123.0,17.5,0.14227642276422764,0.11382113821138211,9.84959349593496,0.09015702314588904,mkt=0.050|steam=0.060,0.05,0.06,0.4520547945205479,0.14383561643835616,146,66.0,-0.3097783717563203,-0.030014478226974048,-23,-48.5
price_band,12-20,110,10,110.0,15.0,0.13636363636363635,0.09090909090909091,13.136363636363637,0.09418547103012181,mkt=0.050|steam=0.060,0.05,0.06,0.04838709677419355,0.08064516129032258,124,6.0,0.0879765395894428,0.010263929618768333,-14,9.0
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.09016003109046472,mkt=0.050|steam=0.060,0.05,0.06,1.9,1.0,1,1.9,0.0,0.0,0,0.0
price_band,6-9,216,29,216.0,-1.0,-0.004629629629629629,0.13425925925925927,7.296296296296297,0.07907482746832104,mkt=0.050|steam=0.060,0.05,0.06,0.07709251101321586,0.14537444933920704,227,17.5,-0.0817221406428455,-0.011115190079947768,-11,-18.5
price_band,3-6,43,4,43.0,-23.2,-0.5395348837209302,0.09302325581395349,4.96046511627907,0.0790725763820524,mkt=0.050|steam=0.060,0.05,0.06,-0.5392857142857143,0.10714285714285714,56,-30.2,-0.0002491694352159124,-0.01411960132890365,-13,7.0
price_band,9-12,126,17,126.0,47.5,0.376984126984127,0.1349206349206349,9.928571428571429,0.08638714596468436,mkt=0.050|steam=0.080,0.05,0.08,0.4520547945205479,0.14383561643835616,146,66.0,-0.07507066753642094,-0.008914981517721243,-20,-18.5
price_band,6-9,216,30,216.0,3.0,0.013888888888888888,0.1388888888888889,7.291666666666667,0.08050371452637466,mkt=0.050|steam=0.080,0.05,0.08,0.07709251101321586,0.14537444933920704,227,17.5,-0.06320362212432698,-0.006485560450318145,-11,-14.5
price_band,<3,2,1,2.0,0.8999999999999999,0.44999999999999996,0.5,2.8,0.08796186815798976,mkt=0.050|steam=0.080,0.05,0.08,1.9,1.0,1,1.9,-1.45,-0.5,1,-1.0
price_band,12-20,102,8,102.0,-1.0,-0.00980392156862745,0.0784313725490196,13.156862745098039,0.0969031070395929,mkt=0.050|steam=0.080,0.05,0.08,0.04838709677419355,0.08064516129032258,124,6.0,-0.058191018342821,-0.0022137887413029717,-22,-7.0
price_band,3-6,51,7,51.0,-18.5,-0.3627450980392157,0.13725490196078433,5.0,0.07717009691660134,mkt=0.050|steam=0.080,0.05,0.08,-0.5392857142857143,0.10714285714285714,56,-30.2,0.17654061624649858,0.03011204481792719,-5,11.7
